Time,Rx_ID,Rx_Delay,Rx_Gap,Inst_Tp,Avg_Tp,LossRate
1.051,1,0.0198446,0,951.475,19607.8,0
1.148,2,0.0968446,0.097,0,13513.5,0
1.148,3,0.0768446,0,0,20270.3,0
1.205,4,0.113845,0.057,19480.5,19512.2,0
1.206,5,0.0948446,0.001,0,24271.8,0
1.206,6,0.0748446,0,0,29126.2,0
1.206,7,0.0548446,0,0,33980.6,0
1.355,8,0.183845,0.149,26666.7,22535.2,0
1.355,9,0.163845,0,0,25352.1,0
1.618,10,0.406845,0.263,7604.56,16181.2,0
1.618,11,0.386845,0,0,17799.4,0
1.651,12,0.399845,0.033,0,18433.2,0
1.651,13,0.379845,0,0,19969.3,0
2.09,14,0.798845,0.439,8474.58,12844,0
2.192,15,0.880845,0.102,9803.92,12583.9,0
2.192,16,0.860845,0,0,13422.8,0
2.487,17,1.13584,0.295,6779.66,11432.4,0
2.487,18,1.11584,0,0,12104.9,0
2.549,19,1.15784,0.062,0,12266,0
2.549,20,1.13784,0,0,12911.6,0
2.73,21,1.29884,0.181,16460.9,12138.7,0
2.73,22,1.27884,0,0,12716.8,0
2.757,23,1.28584,0.027,0,13090.5,0
2.757,24,1.26584,0,0,13659.6,0
2.944,25,1.43284,0.187,18691.6,12860.1,0
2.944,26,1.41284,0,0,13374.5,0
2.952,27,1.40084,0.008,0,13832,0
2.952,28,1.38084,0,0,14344.3,0
3.159,29,1.56784,0.207,18604.7,13432.1,0
3.159,30,1.54784,0,0,13895.3,0
4.049,31,2.41784,0.89,2247.19,10167.3,0
4.049,32,2.39784,0,0,10495.2,0
9.412,33,7.74084,5.363,372.926,3922.97,0
9.551,34,7.85984,0.139,7194.24,3976.14,0
9.672,35,7.96084,0.121,8264.46,4035.98,0
11.095,36,0.0838446,1.423,702.741,3566.12,0.928
11.097,37,0.0658446,0.002,0,3664.45,0.926148
11.102,38,0.0508446,0.005,0,3761.63,0.924303
11.117,39,0.0458446,0.015,0,3854.9,0.922465
11.12,40,0.0288446,0.003,0,3952.57,0.920635
11.131,41,0.0198446,0.011,0,4046.98,0.918812
11.137,42,0.00584458,0.006,0,4143.24,0.916996
11.157,43,0.00584458,0.02,0,4233.53,0.915187
11.179,44,0.00784458,0.022,0,4322.63,0.913386
11.198,45,0.00684458,0.019,87378.6,4412.63,0.911591
11.222,46,0.0108446,0.024,0,4500.1,0.909804
11.239,47,0.00784458,0.017,0,4590.29,0.908023
11.258,48,0.00684458,0.019,0,4679.27,0.90625
11.277,49,0.00584458,0.019,0,4767.93,0.904483
11.302,50,0.0108446,0.025,48076.9,4853.43,0.902724
11.318,51,0.00684458,0.016,0,4942.82,0.900971
11.338,52,0.00684458,0.02,0,5029.99,0.899225
11.357,53,0.00584458,0.019,0,5117.31,0.897485
11.379,54,0.00784458,0.022,0,5202.81,0.895753
11.398,55,0.00684458,0.019,0,5289.48,0.894027
11.423,56,0.0118446,0.025,49586.8,5372.73,0.892308
11.442,57,0.0108446,0.019,0,5458.72,0.890595
11.458,58,0.00684458,0.016,0,5545.99,0.888889
11.482,59,0.0108446,0.024,0,5628.7,0.887189
11.499,60,0.00784458,0.017,0,5714.83,0.885496
11.518,61,0.00684458,0.019,0,5799.58,0.88381
11.545,62,0.0138446,0.027,49180.3,5879.56,0.882129
11.558,63,0.00684458,0.013,0,5967.04,0.880455
11.583,64,0.0118446,0.025,0,6047.43,0.878788
11.599,65,0.00784458,0.016,0,6132.65,0.877127
11.617,66,0.00584458,0.018,0,6216.45,0.875472
11.638,67,0.00684458,0.021,0,6298.18,0.873823
11.662,68,0.0108446,0.024,51282.1,6377.79,0.87218
11.678,69,0.00684458,0.016,0,6461.88,0.870544
11.699,70,0.00784458,0.021,0,6542.67,0.868914
11.719,71,0.00784458,0.02,0,6623.75,0.86729
11.739,72,0.00784458,0.02,0,6704.53,0.865672
11.763,73,0.0118446,0.024,49505,6782.5,0.86406
11.777,74,0.00584458,0.014,0,6866.47,0.862454
11.798,75,0.00684458,0.021,0,6945.73,0.860853
11.822,76,0.0108446,0.024,0,7022.73,0.859259
11.842,77,0.0108446,0.02,0,7102.01,0.857671
11.858,78,0.00684458,0.016,0,7183.64,0.856089
11.879,79,0.00784458,0.021,51724.1,7261.7,0.854512
11.897,80,0.00584458,0.018,0,7341.47,0.852941
11.917,81,0.00584458,0.02,0,7419.62,0.851376
11.937,82,0.00584458,0.02,0,7497.49,0.849817
11.959,83,0.00784458,0.022,0,7573.68,0.848263
11.976,84,0.00484458,0.017,0,7653.06,0.846715
11.996,85,0.00484458,0.02,51282.1,7730.08,0.845173
12.026,86,0.0148446,0.03,0,7799.75,0.843636
12.042,87,0.0108446,0.016,0,7879.01,0.842105
12.062,88,0.0108446,0.02,0,7955.16,0.84058
12.076,89,0.00484458,0.014,0,8035.39,0.83906
12.106,90,0.0148446,0.03,45454.5,8103.73,0.837545
12.12,91,0.00884458,0.014,0,8183.45,0.836036
12.142,92,0.0108446,0.022,0,8257.05,0.834532
12.168,93,0.0168446,0.026,0,8327.36,0.833034
12.186,94,0.0148446,0.018,0,8403.36,0.831541
12.197,95,0.00584458,0.011,0,8484.42,0.830054
12.216,96,0.00484458,0.019,54545.5,8559.2,0.828571
12.236,97,0.00484458,0.02,0,8632.97,0.827094
12.262,98,0.0108446,0.026,0,8701.83,0.825623
12.282,99,0.0108446,0.02,0,8775.04,0.824156
12.299,100,0.00784458,0.017,0,8850.34,0.822695
12.316,101,0.00484458,0.017,50000,8925.42,0.821239
12.336,102,0.00484458,0.02,0,8997.88,0.819788
12.356,103,0.00484458,0.02,0,9070.1,0.818342
12.383,104,0.0118446,0.027,0,9136.43,0.816901
12.396,105,0.00484458,0.013,0,9213.76,0.815466
12.416,106,0.00484458,0.02,50000,9285.21,0.814035
12.436,107,0.00484458,0.02,0,9356.42,0.812609
12.539,108,0.0878446,0.103,16260.2,9359.56,0.811189
12.621,109,0.149845,0.082,0,9379.57,0.809773
12.831,110,0.339845,0.21,6849.32,9297.61,0.808362
12.96,111,0.448845,0.129,7751.94,9280.94,0.806957
12.971,112,0.439845,0.011,0,9355.94,0.805556
12.993,113,0.441845,0.022,0,9422.16,0.804159
12.993,114,0.421845,0,0,9505.54,0.802768
13.024,115,0.432845,0.031,0,9564.2,0.801382
13.03,116,0.418845,0.006,0,9642.56,0.8
13.036,117,0.404845,0.006,0,9720.84,0.798623
13.064,118,0.412845,0.028,67307.7,9781.17,0.797251
13.064,119,0.392845,0,0,9864.06,0.795883
13.128,120,0.436845,0.064,0,9894.46,0.794521
13.164,121,0.452845,0.036,30000,9947.39,0.793162
13.175,122,0.443845,0.011,0,10020.5,0.791809
13.205,123,0.453845,0.03,0,10077.8,0.79046
13.225,124,0.453845,0.02,0,10143.1,0.789116
13.291,125,0.499845,0.066,31496.1,10170,0.787776
13.291,126,0.479845,0,0,10251.4,0.786441
13.312,127,0.480845,0.021,0,10315.1,0.78511
13.316,128,0.464845,0.004,0,10393,0.783784
13.318,129,0.446845,0.002,0,10472.5,0.782462
13.347,130,0.455845,0.029,0,10528.9,0.781145
13.347,131,0.435845,0,0,10609.9,0.779832
13.361,132,0.429845,0.014,0,10678.7,0.778523
13.396,133,0.444845,0.035,76190.5,10729.3,0.777219
13.415,134,0.443845,0.019,0,10793.4,0.77592
13.415,135,0.423845,0,0,10873.9,0.774624
13.415,136,0.403845,0,0,10954.5,0.773333
13.425,137,0.393845,0.01,0,11026.2,0.772047
13.425,138,0.373845,0,0,11106.6,0.770764
13.436,139,0.364845,0.011,0,11177.2,0.769486
13.436,140,0.344845,0,0,11257.6,0.768212
13.441,141,0.329845,0.005,0,11333.5,0.766942
13.442,142,0.310845,0.001,0,11413,0.765677
13.443,143,0.291845,0.001,0,11492.4,0.764415
13.451,144,0.279845,0.008,0,11565.3,0.763158
13.451,145,0.259845,0,0,11645.7,0.761905
13.451,146,0.239845,0,0,11726,0.760656
