Time,Rx_ID,Rx_Delay,Rx_Gap,Inst_Tp,Avg_Tp,LossRate
1.036,1,0.00484458,0,965.251,27777.8,0
1.056,2,0.00484458,0.02,0,35714.3,0
1.076,3,0.00484458,0.02,0,39473.7,0
1.096,4,0.00484458,0.02,0,41666.7,0
1.116,5,0.00484458,0.02,0,43103.4,0
1.136,6,0.00484458,0.02,50000,44117.6,0
1.156,7,0.00484458,0.02,0,44871.8,0
1.176,8,0.00484458,0.02,0,45454.5,0
1.196,9,0.00484458,0.02,0,45918.4,0
1.216,10,0.00484458,0.02,0,46296.3,0
1.236,11,0.00484458,0.02,50000,46610.2,0
1.256,12,0.00484458,0.02,0,46875,0
1.276,13,0.00484458,0.02,0,47101.4,0
1.296,14,0.00484458,0.02,0,47297.3,0
1.316,15,0.00484458,0.02,0,47468.4,0
1.336,16,0.00484458,0.02,50000,47619,0
1.356,17,0.00484458,0.02,0,47752.8,0
1.376,18,0.00484458,0.02,0,47872.3,0
1.396,19,0.00484458,0.02,0,47979.8,0
1.416,20,0.00484458,0.02,0,48076.9,0
1.436,21,0.00484458,0.02,50000,48165.1,0
1.456,22,0.00484458,0.02,0,48245.6,0
1.476,23,0.00484458,0.02,0,48319.3,0
1.496,24,0.00484458,0.02,0,48387.1,0
1.516,25,0.00484458,0.02,0,48449.6,0
1.536,26,0.00484458,0.02,50000,48507.5,0
1.556,27,0.00484458,0.02,0,48561.2,0
1.576,28,0.00484458,0.02,0,48611.1,0
1.596,29,0.00484458,0.02,0,48657.7,0
1.616,30,0.00484458,0.02,0,48701.3,0
1.636,31,0.00484458,0.02,50000,48742.1,0
1.656,32,0.00484458,0.02,0,48780.5,0
1.676,33,0.00484458,0.02,0,48816.6,0
1.696,34,0.00484458,0.02,0,48850.6,0
1.716,35,0.00484458,0.02,0,48882.7,0
1.736,36,0.00484458,0.02,50000,48913,0
1.756,37,0.00484458,0.02,0,48941.8,0
1.776,38,0.00484458,0.02,0,48969.1,0
1.796,39,0.00484458,0.02,0,48995,0
1.816,40,0.00484458,0.02,0,49019.6,0
1.836,41,0.00484458,0.02,50000,49043.1,0
1.856,42,0.00484458,0.02,0,49065.4,0
1.876,43,0.00484458,0.02,0,49086.8,0
1.896,44,0.00484458,0.02,0,49107.1,0
1.916,45,0.00484458,0.02,0,49126.6,0
1.936,46,0.00484458,0.02,50000,49145.3,0
1.956,47,0.00484458,0.02,0,49163.2,0
1.976,48,0.00484458,0.02,0,49180.3,0
1.996,49,0.00484458,0.02,0,49196.8,0
2.016,50,0.00484458,0.02,0,49212.6,0
2.036,51,0.00484458,0.02,50000,49227.8,0
